organisation;name;art;kategorie;anlass;direktoderindirekt;seitenanzahl;flyervorhanden;briefumschlaggestaltung;stimmung;faktenanzahl;quellen;expertengesicht;weristexperte;namentlicheansprache;bitten;geldeinsetzungsort;zweck;geschichtevorhanden;protagonistenanzahl;typdesprotagonisten;perspektive;emotionalität;absenderunterschrift;anerkennung;stilmittel;verständlichkeit;fließtext;infokasten;zitate;stichpunkte;schriftart;textlänge;aufbautextfotos;Absenderfoto;fotoanzahl;fotoplatzierung;fotoinhalt;fotowirkung;bildformat;fotofarbgestaltung;bankdaten;goodies
1;1;3;3;4;1;3;1;1;3;3;3;1;5;3;2;1;1;1;4;3;3;4;1;3;1;2;1;1;1;1;2;1;2;1;1;2;1;1;3;1;2;7
1;2;3;3;3;1;3;2;1;3;3;3;1;5;3;2;1;1;1;4;3;3;4;1;3;1;2;1;1;1;1;3;1;2;1;1;2;1;1;3;1;2;1
1;3;3;3;2;1;2;2;1;3;1;2;2;6;3;2;1;1;1;1;3;2;4;2;3;1;2;2;1;2;1;2;2;2;2;2;1;1;2;1;2;1;5
2;1;1;3;2;1;3;1;1;3;3;3;1;4;4;2;1;2;1;3;1;3;4;1;1;1;2;1;1;1;2;2;3;2;1;1;3;4;3;3;1;1;5
2;2;1;3;4;1;3;1;1;3;3;3;2;4;4;3;2;1;1;1;1;1;4;1;3;1;2;1;1;1;1;2;3;1;1;1;99;4;3;1;1;1;5
2;3;1;3;3;1;3;1;1;3;3;3;1;4;4;3;2;2;1;2;1;3;1;1;3;1;2;1;1;1;1;2;3;1;1;1;99;4;3;3;2;1;7
2;4;1;2;3;1;3;1;1;3;3;1;1;5;4;1;1;2;1;3;2;1;4;1;1;1;2;1;1;1;1;2;4;1;2;5;99;4;1;3;1;1;1
2;5;1;3;3;1;3;1;1;1;3;1;1;5;4;2;1;2;2;1;99;99;4;1;1;1;2;1;1;1;1;2;4;1;2;5;99;4;1;3;1;1;1
2;6;1;3;4;1;3;1;1;1;3;1;2;5;1;2;2;1;1;4;99;2;4;1;1;3;2;1;2;1;1;1;4;1;2;5;2;1;2;1;1;1;1
2;7;1;3;3;1;3;1;1;1;3;1;1;5;1;2;2;1;1;4;99;2;4;1;2;99;2;1;2;1;1;1;4;1;1;1;2;1;2;1;2;1;4
2;8;1;1;5;1;4;1;1;3;3;1;2;6;3;3;3;1;1;1;99;2;4;1;2;1;2;2;1;2;2;2;2;1;2;5;99;4;3;1;1;1;1
2;9;1;1;1;1;3;1;1;1;3;1;2;6;3;3;2;1;2;1;99;2;4;1;2;3;2;1;2;2;2;2;2;1;2;5;99;3;3;1;2;1;1
3;1;1;3;3;1;3;1;2;1;3;1;1;5;3;2;1;1;2;1;99;2;1;1;1;1;2;1;1;2;1;2;4;2;2;1;2;4;1;3;1;1;4
